threshold,metric,ci_lower,ci_upper
1,fpr (Black),1.0,1.0
1,fpr (White),1.0,1.0
1,fpr Gap (B-W),0.0,0.0
1,fnr (Black),0.0,0.0
1,fnr (White),0.0,0.0
1,fnr Gap (B-W),0.0,0.0
1,ppv (Black),0.4989177489177489,0.5305735930735931
1,ppv (White),0.37367563162184186,0.4132029339853301
1,ppv Gap (B-W),0.09598103480667668,0.14589568184464274
1,npv (Black),,
1,npv (White),,
1,npv Gap (B-W),,
1,tpr_recall (Black),1.0,1.0
1,tpr_recall (White),1.0,1.0
1,tpr_recall Gap (B-W),0.0,0.0
1,tnr_spec (Black),0.0,0.0
1,tnr_spec (White),0.0,0.0
1,tnr_spec Gap (B-W),0.0,0.0
1,accuracy (Black),0.4989177489177489,0.5305735930735931
1,accuracy (White),0.37367563162184186,0.4132029339853301
1,accuracy Gap (B-W),0.09598103480667668,0.14589568184464274
1,balanced_accuracy (Black),0.5,0.5
1,balanced_accuracy (White),0.5,0.5
1,balanced_accuracy Gap (B-W),0.0,0.0
1,overall_error (Black),0.4694264069264069,0.5010822510822511
1,overall_error (White),0.58679706601467,0.6263243683781581
1,overall_error Gap (B-W),-0.14589568184464274,-0.09598103480667665
1,selection_rate (Black),1.0,1.0
1,selection_rate (White),1.0,1.0
1,selection_rate Gap (B-W),0.0,0.0
2,fpr (Black),0.8112445871667773,0.8464996389180672
2,fpr (White),0.6137883784814159,0.6621532415963696
2,fpr Gap (B-W),0.1612755606635345,0.22044195759279908
2,fnr (Black),0.038641905444928785,0.057592107302170605
2,fnr (White),0.12473777642523838,0.16954358793547752
2,fnr Gap (B-W),-0.12382485803430769,-0.0749113527910479
2,ppv (Black),0.5320166424004904,0.5660734074040499
2,ppv (White),0.44065848612433256,0.4876974365242768
2,ppv Gap (B-W),0.05546228920324217,0.11282333479147844
2,npv (Black),0.7295019328513137,0.8111452784503631
2,npv (White),0.7605137944273804,0.8225108225108225
2,npv Gap (B-W),-0.07250426180045189,0.031461934753369634
2,tpr_recall (Black),0.9424078926978294,0.9613580945550713
2,tpr_recall (White),0.8304564120645225,0.8752622235747616
2,tpr_recall Gap (B-W),0.0749113527910478,0.12382485803430769
2,tnr_spec (Black),0.1535003610819328,0.18875541283322264
2,tnr_spec (White),0.33784675840363043,0.3862116215185841
2,tnr_spec Gap (B-W),-0.2204419575927991,-0.1612755606635345
2,accuracy (Black),0.5570887445887446,0.5887513528138527
2,accuracy (White),0.5354523227383863,0.5749796251018745
2,accuracy Gap (B-W),-0.007426749595148102,0.04244023473470298
2,balanced_accuracy (Black),0.551481158363374,0.5713950497839495
2,balanced_accuracy (White),0.5909571788344398,0.6242854940241027
2,balanced_accuracy Gap (B-W),-0.06596758699743212,-0.026741147894304634
2,overall_error (Black),0.4112486471861472,0.4429112554112554
2,overall_error (White),0.4250203748981255,0.46454767726161367
2,overall_error Gap (B-W),-0.04244023473470293,0.007426749595148094
2,selection_rate (Black),0.8823051948051948,0.9023268398268398
2,selection_rate (White),0.7049714751426243,0.7404237978810106
2,selection_rate Gap (B-W),0.1493429591496524,0.1901745361403063
3,fpr (Black),0.6550168463285341,0.6974362606232294
3,fpr (White),0.44601865579441563,0.49665797682709445
3,fpr Gap (B-W),0.17148873171166074,0.2377427301408864
3,fnr (Black),0.09646763961393873,0.12458867129826087
3,fnr (White),0.23572593988418053,0.2923865213734967
3,fnr Gap (B-W),-0.1840171189303886,-0.12202971697660352
3,ppv (Black),0.5643829691425322,0.6
3,ppv (White),0.4766526017804415,0.5298667575322014
3,ppv Gap (B-W),0.0464561066348471,0.10990712196289497
3,npv (Black),0.7036114570361146,0.7652070771183751
3,npv (White),0.7288926444278371,0.7819636226067058
3,npv Gap (B-W),-0.06252145787102717,0.019811198079994718
3,tpr_recall (Black),0.8754113287017392,0.9035323603860613
3,tpr_recall (White),0.7076134786265033,0.7642740601158194
3,tpr_recall Gap (B-W),0.12202971697660353,0.1840171189303886
3,tnr_spec (Black),0.30256373937677056,0.3449831536714659
3,tnr_spec (White),0.5033420231729056,0.5539813442055844
3,tnr_spec Gap (B-W),-0.2377427301408864,-0.17148873171166074
3,accuracy (Black),0.5995670995670995,0.6301406926406926
3,accuracy (White),0.5908720456397718,0.6299918500407498
3,accuracy Gap (B-W),-0.020846266101461692,0.029407527069507514
3,balanced_accuracy (Black),0.5939785767221303,0.6196191072031092
3,balanced_accuracy (White),0.6138066960146782,0.65130072147143
3,balanced_accuracy Gap (B-W),-0.04845354712894589,-0.002899822306220066
3,overall_error (Black),0.36985930735930733,0.4004329004329004
3,overall_error (White),0.3700081499592502,0.4091279543602282
3,overall_error Gap (B-W),-0.0294075270695075,0.020846266101461668
3,selection_rate (Black),0.7727272727272727,0.7989718614718615
3,selection_rate (White),0.5562347188264058,0.5945395273023635
3,selection_rate Gap (B-W),0.18726309219509102,0.2334000313561743
4,fpr (Black),0.5409922277043875,0.586481019376774
4,fpr (White),0.3265843179377014,0.37483818395312907
4,fpr Gap (B-W),0.1802648989760046,0.24559886881882817
4,fnr (Black),0.1690779891343927,0.20467624260556197
4,fnr (White),0.3292186343710186,0.39112601000629366
4,fnr Gap (B-W),-0.20902718271682624,-0.13774682815859896
4,ppv (Black),0.5851134513147738,0.623015301128182
4,ppv (White),0.5125223613595706,0.5716838842975206
4,ppv Gap (B-W),0.02673426667521441,0.0965631613144647
4,npv (Black),0.6606648414387719,0.7146488799535401
4,npv (White),0.7115673681930456,0.7599722331595048
4,npv Gap (B-W),-0.08457975424089832,-0.01168152828881672
4,tpr_recall (Black),0.7953237573944381,0.8309220108656072
4,tpr_recall (White),0.6088739899937063,0.6707813656289813
4,tpr_recall Gap (B-W),0.13774682815859896,0.20902718271682622
4,tnr_spec (Black),0.413518980623226,0.45900777229561246
4,tnr_spec (White),0.6251618160468709,0.6734156820622986
4,tnr_spec Gap (B-W),-0.24559886881882814,-0.18026489897600462
4,accuracy (Black),0.6141774891774892,0.6458333333333334
4,accuracy (White),0.6267318663406682,0.6650366748166259
4,accuracy Gap (B-W),-0.040395054721154997,0.008807016638618154
4,balanced_accuracy (Black),0.6094068962827003,0.639136630395222
4,balanced_accuracy (White),0.6252741535250603,0.6647632419647689
4,balanced_accuracy Gap (B-W),-0.04461568090137833,0.003692529418802728
4,overall_error (Black),0.3541666666666667,0.38582251082251084
4,overall_error (White),0.33496332518337407,0.3732681336593317
4,overall_error Gap (B-W),-0.0088070166386181,0.04039505472115494
4,selection_rate (Black),0.6772186147186147,0.7067099567099567
4,selection_rate (White),0.4441727791361043,0.4841075794621027
4,selection_rate Gap (B-W),0.20327458681294253,0.25181538357730293
5,fpr (Black),0.4251254554795041,0.47115466101694914
5,fpr (White),0.21318063862823813,0.2567761834055466
5,fpr Gap (B-W),0.18128652264144574,0.24550090263674823
5,fnr (Black),0.25971093436539416,0.299682493800921
5,fnr (White),0.44466241895819364,0.5097198316442377
5,fnr Gap (B-W),-0.23502026678869392,-0.16006132800335657
5,ppv (Black),0.6098114517669653,0.6499565346661254
5,ppv (White),0.5573029333466648,0.6242843462145272
5,ppv Gap (B-W),0.00023174651580845111,0.07766306313235653
5,npv (Black),0.6264286238706626,0.674312236548475
5,npv (White),0.6895905265993142,0.7347932636203465
5,npv Gap (B-W),-0.09453628083642109,-0.029272029221284985
5,tpr_recall (Black),0.700317506199079,0.7402890656346058
5,tpr_recall (White),0.4902801683557623,0.5553375810418063
5,tpr_recall Gap (B-W),0.16006132800335662,0.23502026678869392
5,tnr_spec (Black),0.5288453389830509,0.5748745445204958
5,tnr_spec (White),0.7432238165944534,0.7868193613717619
5,tnr_spec Gap (B-W),-0.2455009026367483,-0.18128652264144574
5,accuracy (Black),0.622564935064935,0.6542207792207793
5,accuracy (White),0.6507742461287693,0.6886715566422168
5,accuracy Gap (B-W),-0.05565476190476193,-0.007007757676309079
5,balanced_accuracy (Black),0.6203467588214546,0.6516119822516874
5,balanced_accuracy (White),0.6240168226670875,0.6634263169397939
5,balanced_accuracy Gap (B-W),-0.03262982392492941,0.016640793613675636
5,overall_error (Black),0.3457792207792208,0.37743506493506496
5,overall_error (White),0.3113284433577832,0.34922575387123067
5,overall_error Gap (B-W),0.007007757676309019,0.05565476190476183
5,selection_rate (Black),0.5722402597402597,0.6038961038961039
5,selection_rate (White),0.3292583537082315,0.3671658516707415
5,selection_rate Gap (B-W),0.21516090877337818,0.26435209808528876
6,fpr (Black),0.32053404045161255,0.3648054189017667
6,fpr (White),0.129717955685276,0.16500349202192038
6,fpr Gap (B-W),0.16829898183976774,0.22455633087777815
6,fnr (Black),0.3510034339105212,0.3940054767041067
6,fnr (White),0.5602988260405549,0.6232052138674316
6,fnr Gap (B-W),-0.2584444305667184,-0.18036492808525556
6,ppv (Black),0.6380356102409432,0.6814829274338476
6,ppv (White),0.6036032361888806,0.6804473334056381
6,ppv Gap (B-W),-0.02678181730880002,0.0608149376167944
6,npv (Black),0.60292561924069,0.6461098352866644
6,npv (White),0.6680812452456144,0.7105409927495817
6,npv Gap (B-W),-0.09553239718094172,-0.034173287872015276
6,tpr_recall (Black),0.6059945232958933,0.6489965660894789
6,tpr_recall (White),0.37679478613256845,0.4397011739594451
6,tpr_recall Gap (B-W),0.18036492808525556,0.25844443056671845
6,tnr_spec (Black),0.6351945810982332,0.6794659595483874
6,tnr_spec (White),0.8349965079780796,0.870282044314724
6,tnr_spec Gap (B-W),-0.22455633087777815,-0.16829898183976777
6,accuracy (Black),0.6263528138528138,0.6571969696969697
6,accuracy (White),0.6589242053789731,0.6960065199674002
6,accuracy Gap (B-W),-0.06018925171202068,-0.011891117999767121
6,balanced_accuracy (Black),0.6268118374994078,0.6576172293655406
6,balanced_accuracy (White),0.6120045126070085,0.6485278785786017
6,balanced_accuracy Gap (B-W),-0.011828002769052192,0.035999220526432216
6,overall_error (Black),0.3428030303030303,0.37364718614718617
6,overall_error (White),0.30399348003259985,0.3410757946210269
6,overall_error Gap (B-W),0.01189111799976717,0.06018925171202065
6,selection_rate (Black),0.4732142857142857,0.5054112554112554
6,selection_rate (White),0.2334963325183374,0.26772616136919314
6,selection_rate Gap (B-W),0.2152482297653447,0.2634930778268186
7,fpr (Black),0.2289595851642555,0.26910408049026946
7,fpr (White),0.07660347725973912,0.1064563679245283
7,fpr Gap (B-W),0.13336050939999142,0.18296905066889055
7,fnr (Black),0.46338785664397286,0.5084948470517482
7,fnr (White),0.6777436094109544,0.7357899896800826
7,fnr Gap (B-W),-0.2575582436202026,-0.184588399411404
7,ppv (Black),0.6624896349981193,0.709876651353526
7,ppv (White),0.6293527363184079,0.7204819277108434
7,ppv Gap (B-W),-0.03990419092351531,0.06264114525548067
7,npv (Black),0.5732696878369107,0.6130004971152654
7,npv (White),0.6441413466212931,0.6850122850122851
7,npv Gap (B-W),-0.10020212968363479,-0.04222102298332109
7,tpr_recall (Black),0.4915051529482518,0.5366121433560271
7,tpr_recall (White),0.2642100103199174,0.32225639058904565
7,tpr_recall Gap (B-W),0.18458839941140393,0.2575582436202026
7,tnr_spec (Black),0.7308959195097305,0.7710404148357445
7,tnr_spec (White),0.8935436320754717,0.9233965227402608
7,tnr_spec Gap (B-W),-0.18296905066889066,-0.13336050939999144
7,accuracy (Black),0.6133658008658008,0.645021645021645
7,accuracy (White),0.6475142624286878,0.6850040749796251
7,accuracy Gap (B-W),-0.06174503725695656,-0.01237593142391437
7,balanced_accuracy (Black),0.6176872846934333,0.6480229273676426
7,balanced_accuracy (White),0.584395721398405,0.6170615315834641
7,balanced_accuracy Gap (B-W),0.00935973329923309,0.05439828668306793
7,overall_error (Black),0.354978354978355,0.3866341991341991
7,overall_error (White),0.3149959250203749,0.35248573757131213
