lambda,threshold,loss,membership_frequency
0.25,1,primary_L_t,0.0036
0.25,2,primary_L_t,0.9962
0.25,3,primary_L_t,0.0002
0.25,4,primary_L_t,0.0
0.25,5,primary_L_t,0.0
0.25,6,primary_L_t,0.0
0.25,7,primary_L_t,0.0
0.25,8,primary_L_t,0.0
0.25,9,primary_L_t,0.0
0.25,10,primary_L_t,0.0
0.25,11,primary_L_t,0.0
0.5,1,primary_L_t,0.0
0.5,2,primary_L_t,0.0
0.5,3,primary_L_t,0.0
0.5,4,primary_L_t,0.0
0.5,5,primary_L_t,0.098
0.5,6,primary_L_t,0.9092
0.5,7,primary_L_t,0.001
0.5,8,primary_L_t,0.0
0.5,9,primary_L_t,0.0
0.5,10,primary_L_t,0.0
0.5,11,primary_L_t,0.0
0.75,1,primary_L_t,0.0
0.75,2,primary_L_t,0.0
0.75,3,primary_L_t,0.0
0.75,4,primary_L_t,0.0
0.75,5,primary_L_t,0.0
0.75,6,primary_L_t,0.0
0.75,7,primary_L_t,0.0
0.75,8,primary_L_t,0.0
0.75,9,primary_L_t,0.015
0.75,10,primary_L_t,0.877
0.75,11,primary_L_t,0.1148
