score,n_black,q_black,n_white,q_white,q_gap
1,398,0.228643216080402,681,0.20851688693098386,0.020126329149418143
2,393,0.30279898218829515,361,0.31301939058171746,-0.010220408393422309
3,346,0.4190751445086705,273,0.34065934065934067,0.07841580384932983
4,385,0.4597402597402597,285,0.39649122807017545,0.06324903167008428
5,365,0.4821917808219178,241,0.4605809128630705,0.021610867958847313
6,384,0.5598958333333334,194,0.5721649484536082,-0.012269115120274843
7,400,0.5925,143,0.6153846153846154,-0.022884615384615392
8,359,0.6824512534818942,114,0.7192982456140351,-0.03684699213214093
9,380,0.7078947368421052,98,0.6938775510204082,0.014017185821697087
10,286,0.7937062937062938,64,0.703125,0.09058129370629375
