lambda,threshold,L_t_Sample_C,L_t_Sample_R,L_g_Black,L_g_White,L_tilde_t,is_primary_minimizer,is_sample_r_minimizer,is_robustness_minimizer
0.0,1,0.0,0.0,0.0,0.0,0.0,True,True,True
0.0,2,0.03788617886178862,0.04269476018852232,0.02462121212121212,0.05786471067644662,0.0812696198116498,False,False,False
0.0,3,0.07560975609756097,0.08331023010812309,0.056818181818181816,0.1039119804400978,0.16219044297174748,False,False,False
0.0,4,0.11430894308943089,0.12226226781258663,0.09604978354978355,0.14180929095354522,0.245204046041158,False,False,False
0.0,5,0.16146341463414635,0.1685611311339063,0.14393939393939395,0.18785656071719642,0.3463550749912801,False,False,False
0.0,6,0.208130081300813,0.21375103964513445,0.19155844155844157,0.2330888345558272,0.4464597139867457,False,False,False
0.0,7,0.2611382113821138,0.2633767673967286,0.24972943722943722,0.278321108394458,0.5601674223927451,False,False,False
0.0,8,0.31398373983739836,0.3118935403382312,0.31385281385281383,0.3141809290953545,0.6735263341471922,False,False,False
0.0,9,0.3671544715447154,0.36041031327973383,0.38014069264069267,0.3475957620211899,0.7875828392047436,False,False,False
0.0,10,0.4219512195121951,0.40962018297754366,0.45292207792207795,0.3753056234718826,0.9051273107778165,False,False,False
0.0,11,0.4661788617886179,0.45065151095092876,0.5143398268398268,0.39364303178484106,1.0,False,False,False
0.01,1,0.0053382113821138204,0.005493484890490713,0.004856601731601732,0.00606356968215159,0.01,True,True,True
0.01,2,0.04146991869918699,0.046192126420848356,0.028400974025974024,0.06115321923390384,0.08788001225197375,False,False,False
0.01,3,0.07796747967479675,0.08550318824507902,0.05953463203463204,0.10572942135289323,0.1664016180424869,False,False,False
0.01,4,0.11566016260162602,0.12341973939561962,0.09783008658008657,0.14251426242868784,0.24742456117014636,False,False,False
0.01,5,0.16172520325203252,0.16865261990573882,0.14467803030303028,0.187400162999185,0.3464066019142275,False,False,False
0.01,6,0.20740650406504063,0.21289853063487663,0.1913095238095238,0.23165036674816628,0.4445385222687485,False,False,False
0.01,7,0.2594747967479675,0.261635708344885,0.24844155844155844,0.27609209453952727,0.556341562972351,False,False,False
0.01,8,0.31143739837398376,0.3093318547269199,0.31148268398268397,0.3113691931540342,0.667902858804502,False,False,False
0.01,9,0.3638390243902439,0.35713889658996395,0.37679924242424245,0.344319478402608,0.780374083611965,False,False,False
0.01,10,0.4178585365853659,0.4056445799833656,0.44855248917748913,0.37162999185004075,0.8963136252423807,False,False,False
0.01,11,0.4615170731707317,0.4461449958414194,0.5091964285714285,0.38970660146699265,0.99,False,False,False
0.02,1,0.010676422764227641,0.010986969780981426,0.009713203463203464,0.01212713936430318,0.02,True,True,True
0.02,2,0.04505365853658536,0.04968949265317438,0.03218073593073593,0.06444172779136104,0.0944904046922977,False,False,False
0.02,3,0.08032520325203252,0.08769614638203493,0.062251082251082245,0.10754686226568867,0.17061279311322633,False,False,False
0.02,4,0.11701138211382112,0.12457721097865262,0.09961038961038961,0.14321923390383048,0.2496450762991347,False,False,False
0.02,5,0.16198699186991872,0.16874410867757142,0.14541666666666667,0.1869437652811736,0.34645812883717486,False,False,False
0.02,6,0.2066829268292683,0.2120460216246188,0.19106060606060607,0.23021189894050528,0.44261733055075125,False,False,False
0.02,7,0.25781138211382115,0.25989464929304135,0.24715367965367965,0.2738630806845966,0.5525157035519569,False,False,False
0.02,8,0.30889105691056906,0.30677016911560856,0.3091125541125541,0.30855745721271394,0.6622793834618115,False,False,False
0.02,9,0.3605235772357724,0.35386747990019407,0.3734577922077922,0.34104319478402606,0.7731653280191867,False,False,False
0.02,10,0.4137658536585366,0.4016689769891877,0.44418290043290043,0.36795436022819883,0.887499939706945,False,False,False
0.02,11,0.4568552845528455,0.4416384807319102,0.5040530303030303,0.38577017114914425,0.98,False,False,False
0.03,1,0.016014634146341463,0.016480454671472137,0.014569805194805194,0.018190709046454766,0.03,True,True,True
0.03,2,0.04863739837398374,0.05318685888550041,0.03596049783549783,0.06773023634881827,0.10110079713262166,False,False,False
0.03,3,0.0826829268292683,0.08988910451899086,0.06496753246753247,0.10936430317848411,0.17482396818396576,False,False,False
0.03,4,0.11836260162601625,0.1257346825616856,0.10139069264069263,0.1439242053789731,0.25186559142812304,False,False,False
0.03,5,0.16224878048780486,0.16883559744940393,0.14615530303030302,0.18648736756316217,0.34650965576012227,False,False,False
0.03,6,0.2059593495934959,0.21119351261436095,0.19081168831168832,0.22877343113284437,0.44069613883275405,False,False,False
0.03,7,0.2561479674796748,0.25815359024119766,0.24586580086580084,0.27163406682966584,0.5486898441315627,False,False,False
0.03,8,0.30634471544715447,0.3042084835042972,0.30674242424242426,0.3057457212713936,0.6566559081191212,False,False,False
0.03,9,0.3572081300813008,0.35059606321042414,0.37011634199134197,0.33776691116544416,0.7659565724264081,False,False,False
0.03,10,0.40967317073170734,0.3976933739950097,0.43981331168831167,0.364278728606357,0.8786862541715091,False,False,False
0.03,11,0.45219349593495933,0.43713196562240086,0.49890963203463207,0.38183374083129584,0.97,False,False,False
0.04,1,0.021352845528455282,0.021973939561962853,0.019426406926406927,0.02425427872860636,0.04,True,True,True
0.04,2,0.05222113821138211,0.05668422511782645,0.03974025974025974,0.07101874490627547,0.10771118957294562,False,False,False
0.04,3,0.08504065040650406,0.09208206265594676,0.06768398268398268,0.11118174409127954,0.17903514325470515,False,False,False
0.04,4,0.11971382113821138,0.12689215414471858,0.10317099567099566,0.14462917685411572,0.25408610655711145,False,False,False
0.04,5,0.16251056910569106,0.16892708622123648,0.14689393939393938,0.18603096984515077,0.3465611826830696,False,False,False
0.04,6,0.20523577235772358,0.21034100360410313,0.19056277056277054,0.22733496332518338,0.43877494711475684,False,False,False
0.04,7,0.25448455284552846,0.25641253118935403,0.24457792207792206,0.2694050529747351,0.5448639847111687,False,False,False
0.04,8,0.3037983739837398,0.3016467978929859,0.3043722943722943,0.3029339853300733,0.651032432776431,False,False,False
0.04,9,0.3538926829268293,0.34732464652065426,0.36677489177489175,0.33449062754686226,0.7587478168336297,False,False,False
0.04,10,0.405580487804878,0.39371777100083166,0.4354437229437229,0.36060309698451504,0.8698725686360733,False,False,False
0.04,11,0.44753170731707315,0.4326254505128916,0.4937662337662338,0.37789731051344744,0.96,False,False,False
0.05,1,0.026691056910569107,0.027467424452453565,0.02428300865800866,0.03031784841075795,0.05,True,True,True
0.05,2,0.05580487804878049,0.060181591350152476,0.04352002164502165,0.0743072534637327,0.11432158201326956,False,False,False
0.05,3,0.08739837398373984,0.09427502079290268,0.0704004329004329,0.11299918500407498,0.1832463183254446,False,False,False
0.05,4,0.12106504065040652,0.12804962572775158,0.1049512987012987,0.14533414832925834,0.2563066216860998,False,False,False
0.05,5,0.16277235772357723,0.16901857499306902,0.14763257575757574,0.18557457212713935,0.34661270960601703,False,False,False
0.05,6,0.2045121951219512,0.20948849459384528,0.1903138528138528,0.22589649551752242,0.4368537553967596,False,False,False
0.05,7,0.2528211382113821,0.2546714721375104,0.24329004329004328,0.26717603911980436,0.5410381252907746,False,False,False
0.05,8,0.3012520325203252,0.2990851122816745,0.3020021645021645,0.30012224938875304,0.6454089574337406,False,False,False
0.05,9,0.35057723577235766,0.3440532298308844,0.36343344155844154,0.33121434392828036,0.7515390612408512,False,False,False
0.05,10,0.4014878048780488,0.38974216800665373,0.4310741341991342,0.35692746536267317,0.8610588831006375,False,False,False
0.05,11,0.442869918699187,0.4281189354033823,0.4886228354978355,0.373960880195599,0.95,False,False,False
0.06,1,0.032029268292682926,0.032960909342944274,0.02913961038961039,0.03638141809290953,0.06,True,True,True
0.06,2,0.059388617886178864,0.06367895758247852,0.04729978354978355,0.0775957620211899,0.12093197445359351,False,False,False
0.06,3,0.0897560975609756,0.0964679789298586,0.07311688311688312,0.11481662591687042,0.187457493396184,False,False,False
0.06,4,0.12241626016260161,0.12920709731078459,0.10673160173160173,0.14603911980440099,0.25852713681508815,False,False,False
0.06,5,0.1630341463414634,0.1691100637649016,0.14837121212121213,0.18511817440912795,0.3466642365289644,False,False,False
0.06,6,0.20378861788617883,0.20863598558358745,0.19006493506493508,0.22445802770986142,0.4349325636787624,False,False,False
0.06,7,0.25115772357723576,0.25293041308566677,0.24200216450216452,0.2649470252648737,0.5372122658703805,False,False,False
0.06,8,0.2987056910569106,0.2965234266703632,0.2996320346320346,0.29731051344743276,0.6397854820910502,False,False,False
0.06,9,0.34726178861788615,0.3407818131411145,0.3600919913419913,0.32793806030969846,0.7443303056480727,False,False,False
0.06,10,0.39739512195121945,0.3857665650124757,0.42670454545454545,0.35325183374083124,0.8522451975652017,False,False,False
0.06,11,0.43820813008130083,0.42361242029387297,0.4834794372294372,0.37002444987775057,0.94,False,False,False
0.07,1,0.037367479674796755,0.03845439423343499,0.03399621212121212,0.04244498777506113,0.07,True,True,True
0.07,2,0.06297235772357723,0.06717632381480455,0.05107954545454546,0.08088427057864711,0.12754236689391746,False,False,False
0.07,3,0.09211382113821139,0.09866093706681453,0.07583333333333332,0.11663406682966584,0.19166866846692346,False,False,False
0.07,4,0.12376747967479675,0.1303645688938176,0.10851190476190477,0.1467440912795436,0.2607476519440765,False,False,False
0.07,5,0.16329593495934958,0.1692015525367341,0.14910984848484848,0.18466177669111652,0.3467157634519118,False,False,False
0.07,6,0.20306504065040648,0.20778347657332966,0.1898160173160173,0.2230195599022005,0.4330113719607652,False,False,False
0.07,7,0.2494943089430894,0.2511893540338231,0.24071428571428571,0.26271801140994294,0.5333864064499865,False,False,False
0.07,8,0.29615934959349594,0.2939617410590518,0.2972619047619048,0.2944987775061124,0.6341620067483599,False,False,False
0.07,9,0.34394634146341463,0.3375103964513446,0.3567505411255411,0.3246617766911165,0.7371215500552942,False,False,False
0.07,10,0.3933024390243902,0.3817909620182977,0.42233495670995674,0.34957620211898943,0.8434315120297659,False,False,False
0.07,11,0.43354634146341464,0.4191059051843637,0.47833603896103893,0.3660880195599022,0.9299999999999999,False,False,False
0.08,1,0.042705691056910564,0.043947879123925705,0.038852813852813854,0.04850855745721272,0.08,True,True,True
0.08,2,0.06655609756097562,0.07067369004713059,0.05485930735930736,0.08417277913610433,0.13415275933424142,False,False,False
0.08,3,0.09447154471544715,0.10085389520377046,0.07854978354978356,0.11845150774246128,0.19587984353766288,False,False,False
0.08,4,0.12511869918699187,0.13152204047685057,0.1102922077922078,0.14744906275468625,0.26296816707306486,False,False,False
0.08,5,0.1635577235772358,0.16929304130856668,0.14984848484848487,0.18420537897310515,0.3467672903748592,False,False,False
0.08,6,0.20234146341463416,0.20693096756307183,0.18956709956709955,0.22158109209453952,0.431090180242768,False,False,False
0.08,7,0.2478308943089431,0.24944829498197948,0.23942640692640696,0.2604889975550122,0.5295605470295923,False,False,False
0.08,8,0.2936130081300813,0.2914000554477405,0.2948917748917749,0.2916870415647922,0.6285385314056696,False,False,False
0.08,9,0.3406308943089431,0.3342389797615747,0.3534090909090909,0.3213854930725346,0.7299127944625158,False,False,False
0.08,10,0.389209756097561,0.3778153590241198,0.41796536796536804,0.3459005704971475,0.8346178264943301,False,False,False
0.08,11,0.4288845528455285,0.41459939007485447,0.4731926406926407,0.3621515892420538,0.92,False,False,False
0.09,1,0.048043902439024386,0.04944136401441641,0.04370941558441558,0.054572127139364296,0.09,True,True,True
0.09,2,0.07013983739837398,0.07417105627945662,0.05863906926406926,0.08746128769356153,0.1407631517745654,False,False,False
0.09,3,0.09682926829268293,0.10304685334072637,0.08126623376623376,0.12026894865525672,0.20009101860840228,False,False,False
0.09,4,0.12646991869918697,0.13267951205988357,0.11207251082251082,0.14815403422982884,0.2651886822020532,False,False,False
0.09,5,0.16381951219512195,0.16938453008039922,0.15058712121212123,0.18374898125509373,0.3468188172978066,False,False,False
0.09,6,0.20161788617886178,0.20607845855281398,0.18931818181818183,0.22014262428687859,0.4291689885247708,False,False,False
0.09,7,0.24616747967479677,0.24770723593013586,0.23813852813852815,0.2582599837000815,0.5257346876091983,False,False,False
0.09,8,0.29106666666666664,0.28883836983642913,0.29252164502164507,0.28887530562347186,0.6229150560629794,False,False,False
0.09,9,0.3373154471544716,0.3309675630718048,0.3500676406926407,0.3181092094539527,0.7227040388697373,False,False,False
0.09,10,0.38511707317073174,0.3738397560299418,0.4135957792207792,0.34222493887530564,0.8258041409588943,False,False,False
0.09,11,0.4242227642276423,0.4100928749653452,0.46804924242424245,0.3582151589242054,0.91,False,False,False
0.1,1,0.053382113821138215,0.05493484890490713,0.04856601731601732,0.0606356968215159,0.1,True,True,True
0.1,2,0.07372357723577236,0.07766842251178264,0.06241883116883117,0.09074979625101874,0.14737354421488932,False,False,False
0.1,3,0.0991869918699187,0.10523981147768229,0.08398268398268398,0.12208638956805216,0.20430219367914174,False,False,False
0.1,4,0.1278211382113821,0.13383698364291657,0.11385281385281386,0.1488590057049715,0.26740919733104157,False,False,False
0.1,5,0.16408130081300815,0.1694760188522318,0.15132575757575756,0.18329258353708233,0.34687034422075397,False,False,False
0.1,6,0.20089430894308943,0.20522594954255613,0.18906926406926408,0.21870415647921762,0.4272477968067736,False,False,False
0.1,7,0.24450406504065042,0.24596617687829223,0.23685064935064937,0.2560309698451508,0.5219088281888041,False,False,False
0.1,8,0.28852032520325205,0.2862766842251178,0.29015151515151516,0.2860635696821516,0.617291580720289,False,False,False
0.1,9,0.33399999999999996,0.3276961463820349,0.34672619047619047,0.3148329258353708,0.7154952832769589,False,False,False
0.1,10,0.38102439024390244,0.36986415303576375,0.4092261904761905,0.3385493072534637,0.8169904554234585,False,False,False
0.1,11,0.41956097560975614,0.4055863598558359,0.4629058441558442,0.35427872860635695,0.9,False,False,False
0.11,1,0.05872032520325203,0.06042833379539784,0.053422619047619045,0.06669926650366749,0.11,True,True,True
0.11,2,0.07730731707317073,0.08116578874410868,0.06619859307359308,0.09403830480847596,0.15398393665521326,False,False,False
0.11,3,0.10154471544715447,0.1074327696146382,0.08669913419913419,0.12390383048084759,0.20851336874988116,False,False,False
0.11,4,0.12917235772357724,0.13499445522594955,0.11563311688311688,0.1495639771801141,0.26962971246003,False,False,False
0.11,5,0.16434308943089432,0.1695675076240643,0.15206439393939394,0.1828361858190709,0.3469218711437014,False,False,False
0.11,6,0.20017073170731706,0.20437344053229833,0.18882034632034633,0.21726568867155663,0.42532660508877634,False,False,False
0.11,7,0.24284065040650404,0.24422511782644857,0.23556277056277056,0.25380195599022004,0.5180829687684101,False,False,False
0.11,8,0.2859739837398374,0.2837149986138065,0.2877813852813853,0.2832518337408313,0.6116681053775987,False,False,False
0.11,9,0.33068455284552845,0.32442472969226505,0.3433847402597403,0.3115566422167889,0.7082865276841803,False,False,False
0.11,10,0.3769317073170732,0.3658885500415858,0.40485660173160176,0.3348736756316219,0.8081767698880228,False,False,False
0.11,11,0.41489918699186995,0.4010798447463266,0.4577624458874459,0.35034229828850855,0.89,False,False,False
0.12,1,0.06405853658536585,0.06592181868588855,0.05827922077922078,0.07276283618581907,0.12,True,True,True
0.12,2,0.08089105691056911,0.08466315497643472,0.06997835497835497,0.09732681336593316,0.16059432909553722,False,False,False
0.12,3,0.10390243902439024,0.10962572775159411,0.08941558441558442,0.12572127139364303,0.21272454382062056,False,False,False
0.12,4,0.13052357723577238,0.13615192680898253,0.11741341991341991,0.15026894865525672,0.27185022758901833,False,False,False
0.12,5,0.1646048780487805,0.16965899639589685,0.1528030303030303,0.1823797881010595,0.3469733980666488,False,False,False
0.12,6,0.19944715447154474,0.20352093152204048,0.18857142857142856,0.21582722086389566,0.42340541337077914,False,False,False
0.12,7,0.24117723577235772,0.24248405877460494,0.23427489177489177,0.2515729421352893,0.5142571093480159,False,False,False
0.12,8,0.28342764227642275,0.28115331300249513,0.2854112554112554,0.280440097799511,0.6060446300349084,False,False,False
0.12,9,0.3273691056910569,0.32115331300249517,0.3400432900432901,0.308280358598207,0.701077772091402,False,False,False
0.12,10,0.3728390243902439,0.36191294704740784,0.400487012987013,0.3311980440097799,0.799363084352587,False,False,False
0.12,11,0.41023739837398376,0.3965733296368173,0.45261904761904764,0.34640586797066014,0.88,False,False,False
0.13,1,0.06939674796747967,0.07141530357637926,0.0631358225108225,0.07882640586797066,0.13,True,True,True
0.13,2,0.08447479674796747,0.08816052120876075,0.07375811688311688,0.1006153219233904,0.1672047215358612,False,False,False
0.13,3,0.10626016260162602,0.11181868588855005,0.09213203463203462,0.12753871230643848,0.21693571889136,False,False,False
0.13,4,0.13187479674796748,0.13730939839201553,0.11919372294372295,0.15097392013039934,0.2740707427180067,False,False,False
0.13,5,0.16486666666666666,0.16975048516772945,0.15354166666666666,0.18192339038304808,0.34702492498959614,False,False,False
0.13,6,0.19872357723577233,0.20266842251178263,0.18832251082251084,0.21438875305623473,0.42148422165278193,False,False,False
0.13,7,0.23951382113821137,0.2407429997227613,0.232987012987013,0.2493439282803586,0.5104312499276218,False,False,False
