lambda,sample_c_minimizing_set,sample_r_minimizing_set,same_minimizing_set,sample_c_display_threshold,sample_r_display_threshold,sample_r_minus_c_display_threshold,sample_c_min_loss,sample_r_min_loss
0.0,1,1,True,1,1,0,0.0,0.0
0.01,1,1,True,1,1,0,0.0053382113821138204,0.005493484890490713
0.02,1,1,True,1,1,0,0.010676422764227641,0.010986969780981426
0.03,1,1,True,1,1,0,0.016014634146341463,0.016480454671472137
0.04,1,1,True,1,1,0,0.021352845528455282,0.021973939561962853
0.05,1,1,True,1,1,0,0.026691056910569107,0.027467424452453565
0.06,1,1,True,1,1,0,0.032029268292682926,0.032960909342944274
0.07,1,1,True,1,1,0,0.037367479674796755,0.03845439423343499
0.08,1,1,True,1,1,0,0.042705691056910564,0.043947879123925705
0.09,1,1,True,1,1,0,0.048043902439024386,0.04944136401441641
0.1,1,1,True,1,1,0,0.053382113821138215,0.05493484890490713
0.11,1,1,True,1,1,0,0.05872032520325203,0.06042833379539784
0.12,1,1,True,1,1,0,0.06405853658536585,0.06592181868588855
0.13,1,1,True,1,1,0,0.06939674796747967,0.07141530357637926
0.14,1,1,True,1,1,0,0.07473495934959351,0.07690878846686998
0.15,1,1,True,1,1,0,0.08007317073170732,0.08240227335736068
0.16,1,1,True,1,1,0,0.08541138211382113,0.08789575824785141
0.17,1,1,True,1,1,0,0.09074959349593496,0.09338924313834211
0.18,1,1,True,1,1,0,0.09608780487804877,0.09888272802883281
0.19,1,1,True,1,1,0,0.1014260162601626,0.10437621291932354
0.2,1,1,True,1,1,0,0.10676422764227643,0.10986969780981426
0.21,1,1,True,1,1,0,0.11210243902439024,0.11536318270030496
0.22,2,2,True,2,2,0,0.11672845528455285,0.11963681729969504
0.23,2,2,True,2,2,0,0.12031219512195121,0.12313418353202106
0.24,2,2,True,2,2,0,0.1238959349593496,0.1266315497643471
0.25,2,2,True,2,2,0,0.12747967479674796,0.13012891599667314
0.26,2,2,True,2,2,0,0.13106341463414634,0.13362628222899917
0.27,2,2,True,2,2,0,0.1346471544715447,0.13712364846132521
0.28,2,2,True,2,2,0,0.1382308943089431,0.14062101469365124
0.29,2,2,True,2,2,0,0.14181463414634143,0.14411838092597726
0.3,2,2,True,2,2,0,0.14539837398373984,0.14761574715830328
0.31,3,2,False,3,2,-1,0.14869918699186993,0.15111311339062936
0.32,3,3,True,3,3,0,0.1510569105691057,0.1534848904907125
0.33,3,3,True,3,3,0,0.15341463414634146,0.15567784862766842
0.34,3,3,True,3,3,0,0.15577235772357723,0.15787080676462437
0.35,3,3,True,3,3,0,0.15813008130081302,0.16006376490158028
0.36,3,3,True,3,3,0,0.16048780487804878,0.16225672303853617
0.37,3,3,True,3,3,0,0.16284552845528455,0.1644496811754921
0.38,3,4,False,3,4,1,0.16520325203252031,0.16624618796784033
0.39,4,4,True,4,4,0,0.16700650406504064,0.1674036595508733
0.4,4,4,True,4,4,0,0.16835772357723577,0.1685611311339063
0.41,4,4,True,4,4,0,0.1697089430894309,0.16971860271693928
0.42,4,4,True,4,4,0,0.17106016260162601,0.17087607429997229
0.43,4,4,True,4,4,0,0.17241138211382112,0.17203354588300526
0.44,5,5,True,5,5,0,0.17298211382113823,0.1725866370945384
0.45,5,5,True,5,5,0,0.17324390243902443,0.17267812586637096
0.46,5,5,True,5,5,0,0.17350569105691055,0.1727696146382035
0.47,5,5,True,5,5,0,0.17376747967479675,0.17286110341003605
0.48,6,6,True,6,6,0,0.17339837398373986,0.17283060715275853
0.49,6,6,True,6,6,0,0.17267479674796746,0.1719780981425007
0.5,6,6,True,6,6,0,0.1719512195121951,0.17112558913224285
0.51,6,6,True,6,6,0,0.1712276422764228,0.17027308012198503
0.52,6,6,True,6,6,0,0.17050406504065038,0.1694205711117272
0.53,6,6,True,6,6,0,0.16978048780487803,0.16856806210146935
0.54,6,6,True,6,6,0,0.1690569105691057,0.16771555309121156
0.55,6,6,True,6,6,0,0.16833333333333333,0.1668630440809537
0.56,6,7,False,6,7,1,0.16760975609756096,0.16587746049348487
0.57,7,7,True,7,7,0,0.16632357723577235,0.16413640144164127
0.58,7,7,True,7,7,0,0.16466016260162603,0.1623953423897976
0.59,7,7,True,7,7,0,0.16299674796747968,0.16065428333795398
0.6,8,8,True,8,8,0,0.16120325203252034,0.15819240365955087
0.61,8,8,True,8,8,0,0.1586569105691057,0.15563071804823952
0.62,8,8,True,8,8,0,0.15611056910569104,0.1530690324369282
0.63,8,8,True,8,8,0,0.15356422764227642,0.15050734682561687
0.64,8,8,True,8,8,0,0.15101788617886178,0.14794566121430552
0.65,8,8,True,8,8,0,0.14847154471544713,0.14538397560299418
0.66,8,8,True,8,8,0,0.1459252032520325,0.14282228999168284
0.67,8,8,True,8,8,0,0.1433788617886179,0.1402606043803715
0.68,8,8,True,8,8,0,0.14083252032520324,0.13769891876906015
0.69,8,9,False,8,9,1,0.13828617886178865,0.13468256168561132
0.7,9,10,False,9,10,1,0.13507317073170733,0.13132797338508456
0.71,10,10,True,10,10,0,0.13137073170731708,0.12735237039090658
0.72,10,10,True,10,10,0,0.1272780487804878,0.12337676739672859
0.73,10,10,True,10,10,0,0.12318536585365857,0.1194011644025506
0.74,10,10,True,10,10,0,0.11909268292682929,0.11542556140837262
0.75,10,10,True,10,10,0,0.115,0.11144995841419462
0.76,10,10,True,10,10,0,0.11090731707317072,0.10747435542001663
0.77,10,10,True,10,10,0,0.10681463414634144,0.10349875242583864
0.78,11,11,True,11,11,0,0.10255934959349591,0.09914333240920431
0.79,11,11,True,11,11,0,0.09789756097560974,0.09463681729969503
0.8,11,11,True,11,11,0,0.09323577235772355,0.09013030219018572
0.81,11,11,True,11,11,0,0.08857398373983737,0.08562378708067644
0.82,11,11,True,11,11,0,0.08391219512195125,0.08111727197116719
0.83,11,11,True,11,11,0,0.07925040650406506,0.07661075686165791
0.84,11,11,True,11,11,0,0.07458861788617888,0.0721042417521486
0.85,11,11,True,11,11,0,0.06992682926829269,0.06759772664263933
0.86,11,11,True,11,11,0,0.06526504065040652,0.06309121153313003
0.87,11,11,True,11,11,0,0.06060325203252033,0.058584696423620734
0.88,11,11,True,11,11,0,0.05594146341463414,0.05407818131411145
0.89,11,11,True,11,11,0,0.05127967479674796,0.049571666204602155
0.9,11,11,True,11,11,0,0.04661788617886178,0.04506515109509286
0.91,11,11,True,11,11,0,0.0419560975609756,0.040558635985583576
0.92,11,11,True,11,11,0,0.03729430894308941,0.03605212087607428
0.93,11,11,True,11,11,0,0.03263252032520323,0.03154560576656499
0.94,11,11,True,11,11,0,0.0279707317073171,0.02703909065705575
0.95,11,11,True,11,11,0,0.023308943089430916,0.02253257554754646
0.96,11,11,True,11,11,0,0.018647154471544733,0.018026060438037166
0.97,11,11,True,11,11,0,0.01398536585365855,0.013519545328527874
0.98,11,11,True,11,11,0,0.009323577235772366,0.009013030219018583
0.99,11,11,True,11,11,0,0.004661788617886183,0.004506515109509291
1.0,11,11,True,11,11,0,0.0,0.0
