n,tp,fp,tn,fn,fpr,fnr,ppv,npv,tpr_recall,tnr_spec,accuracy,balanced_accuracy,overall_error,selection_rate,threshold,group
7214.0,3251.0,3963.0,0.0,0.0,1.0,0.0,0.45065151095092876,,1.0,0.0,0.45065151095092876,0.5,0.5493484890490713,1.0,1,Sample R
6150.0,2867.0,3283.0,0.0,0.0,1.0,0.0,0.4661788617886179,,1.0,0.0,0.4661788617886179,0.5,0.5338211382113821,1.0,1,Sample C
3696.0,1901.0,1795.0,0.0,0.0,1.0,0.0,0.5143398268398268,,1.0,0.0,0.5143398268398268,0.5,0.4856601731601732,1.0,1,Black
2454.0,966.0,1488.0,0.0,0.0,1.0,0.0,0.39364303178484106,,1.0,0.0,0.39364303178484106,0.5,0.6063569682151589,1.0,1,White
,,,,,0.0,0.0,0.12069679505498576,,0.0,0.0,0.12069679505498576,0.0,-0.12069679505498576,0.0,1,Gap (Black - White)
7214.0,2943.0,2831.0,1132.0,308.0,0.7143578097400959,0.09474007997539219,0.5096986491167301,0.7861111111111111,0.9052599200246079,0.2856421902599041,0.5648738563903521,0.595451055142256,0.4351261436096479,0.800388134183532,2,Sample R
6150.0,2634.0,2437.0,846.0,233.0,0.742308863844045,0.0812696198116498,0.519424176690988,0.7840593141797961,0.9187303801883502,0.25769113615595496,0.5658536585365853,0.5882107581721525,0.43414634146341463,0.8245528455284553,2,Sample C
3696.0,1810.0,1488.0,307.0,91.0,0.8289693593314763,0.047869542346133616,0.5488174651303821,0.7713567839195979,0.9521304576538664,0.1710306406685237,0.5727813852813853,0.561580549161195,0.4272186147186147,0.8923160173160173,2,Black
2454.0,824.0,949.0,539.0,142.0,0.6377688172043011,0.14699792960662525,0.4647490129723632,0.7914831130690162,0.8530020703933747,0.3622311827956989,0.5554197229013855,0.6076166265945369,0.44458027709861453,0.7224938875305623,2,White
,,,,,0.1912005421271752,-0.09912838726049164,0.08406845215801889,-0.020126329149418254,0.09912838726049167,-0.1912005421271752,0.01736166237999981,-0.046036077433341815,-0.01736166237999981,0.16982212978545497,2,Gap (Black - White)
7214.0,2650.0,2183.0,1780.0,601.0,0.5508453192026243,0.18486619501691787,0.548313676805297,0.747585048299034,0.8151338049830821,0.44915468079737575,0.6140837260881619,0.6321442428902289,0.3859162739118381,0.6699473246465206,3,Sample R
6150.0,2402.0,1915.0,1368.0,465.0,0.5833079500456899,0.16219044297174748,0.5564049108176975,0.7463175122749591,0.8378095570282525,0.4166920499543101,0.6130081300813008,0.6272508034912814,0.38699186991869916,0.7019512195121951,3,Sample C
3696.0,1691.0,1214.0,581.0,210.0,0.6763231197771588,0.11046817464492373,0.5820998278829604,0.7345132743362832,0.8895318253550762,0.32367688022284125,0.6147186147186147,0.6066043527889587,0.3852813852813853,0.7859848484848485,3,Black
2454.0,711.0,701.0,787.0,255.0,0.47110215053763443,0.2639751552795031,0.5035410764872521,0.755278310940499,0.7360248447204969,0.5288978494623655,0.6104319478402608,0.6324613470914312,0.3895680521597392,0.5753871230643847,3,White
,,,,,0.20522096923952432,-0.15350698063457938,0.07855875139570834,-0.020765036604215803,0.15350698063457935,-0.20522096923952426,0.004286666878353884,-0.025856994302472458,-0.00428666687835394,0.21059772542046384,3,Gap (Black - White)
7214.0,2369.0,1717.0,2246.0,882.0,0.43325763310623266,0.27130113811135037,0.5797846304454234,0.7180306905370843,0.7286988618886496,0.5667423668937673,0.6397283060715275,0.6477206143912084,0.3602716939284724,0.5663986692542279,4,Sample R
6150.0,2164.0,1534.0,1749.0,703.0,0.46725555893999393,0.245204046041158,0.5851811790156841,0.7132952691680261,0.754795953958842,0.5327444410600061,0.636260162601626,0.6437701975094241,0.363739837398374,0.6013008130081301,4,Sample C
3696.0,1546.0,1013.0,782.0,355.0,0.5643454038997214,0.18674381904260914,0.6041422430636968,0.6877748460861918,0.8132561809573908,0.43565459610027857,0.6298701298701299,0.6244553885288346,0.37012987012987014,0.6923701298701299,4,Black
2454.0,618.0,521.0,967.0,348.0,0.35013440860215056,0.36024844720496896,0.5425812115891132,0.7353612167300381,0.639751552795031,0.6498655913978495,0.6458842705786471,0.6448085720964403,0.3541157294213529,0.4641401792991035,4,White
,,,,,0.21421099529757087,-0.17350462816235981,0.06156103147458358,-0.0475863706438463,0.1735046281623598,-0.21421099529757093,-0.016014140708517144,-0.020353183567605626,0.016014140708517255,0.2282299505710264,4,Gap (Black - White)
7214.0,2035.0,1282.0,2681.0,1216.0,0.32349230381024474,0.3740387573054445,0.6135061802833887,0.6879651013600205,0.6259612426945556,0.6765076961897553,0.6537288605489326,0.6512344694421555,0.34627113945106736,0.45980038813418356,5,Sample R
6150.0,1874.0,1154.0,2129.0,993.0,0.3515077672860189,0.3463550749912801,0.6188903566710701,0.6819346572709801,0.65364492500872,0.648492232713981,0.6508943089430894,0.6510685788613505,0.3491056910569106,0.4923577235772358,5,Sample C
3696.0,1369.0,805.0,990.0,532.0,0.44846796657381616,0.27985270910047344,0.6297148114075437,0.6504599211563732,0.7201472908995266,0.5515320334261838,0.6382575757575758,0.6358396621628553,0.36174242424242425,0.5882034632034632,5,Black
